product_id,product_name,category_id,supplier_id,price,cost,stock_quantity,created_date
1,iPhone 14,1,1,3485.59,2091.36,389,2024-11-29
2,Samsung Galaxy S23,1,2,1955.12,1173.07,81,2024-10-18
3,Xiaomi Redmi Note 12,1,5,3893.18,2335.91,54,2024-11-16
4,Motorola Edge 30,1,1,3280.07,1968.04,25,2025-01-06
5,OnePlus 11,1,2,1193.52,716.11,268,2024-08-11
6,MacBook Air M2,2,5,3328.48,1997.09,111,2025-03-08
7,Dell XPS 13,2,5,3807.28,2284.37,224,2025-05-03
8,Lenovo ThinkPad X1,2,5,1725.85,1035.51,152,2025-02-15
9,HP Pavilion 15,2,1,4199.61,2519.76,398,2025-04-04
10,Asus ZenBook 14,2,4,4184.44,2510.66,184,2024-10-30
11,iPad Air,3,2,772.38,463.43,500,2025-07-05
12,Samsung Galaxy Tab S8,3,1,1597.94,958.76,57,2025-04-14
13,Lenovo Tab P11,3,3,945.88,567.53,443,2025-02-22
14,Huawei MatePad,3,3,884.72,530.83,423,2024-12-16
15,Amazon Fire HD 10,3,4,373.87,224.32,284,2025-06-05
16,Cabo USB-C,4,4,42.47,25.48,50,2025-06-23
17,Carregador Wireless,4,5,119.37,71.62,463,2024-12-21
18,Capa iPhone,4,5,175.11,105.06,108,2025-05-10
19,Película Protetora,4,1,146.82,88.09,348,2025-02-24
20,Suporte Celular,4,3,61.02,36.61,50,2025-03-01
21,PlayStation 5,5,1,1754.04,1052.42,204,2025-04-30
22,Xbox Series X,5,3,772.56,463.53,93,2025-02-16
23,Nintendo Switch,5,2,929.31,557.58,353,2025-04-18
24,Steam Deck,5,1,753.86,452.32,321,2025-01-28
25,Controle Pro,5,5,1379.46,827.68,383,2025-05-02
26,AirPods Pro,6,4,480.49,288.3,204,2025-03-29
27,Sony WH-1000XM4,6,5,514.43,308.66,122,2025-04-18
28,JBL Flip 6,6,1,1074.23,644.54,127,2025-05-24
29,Bose QuietComfort,6,3,1259.43,755.66,215,2025-05-15
30,Beats Studio Buds,6,2,511.45,306.87,477,2025-01-14
31,Apple Watch Series 8,7,3,1422.93,853.76,118,2025-01-14
32,Samsung Galaxy Watch 5,7,4,1034.84,620.91,462,2025-08-05
33,Fitbit Versa 4,7,4,1384.64,830.78,83,2024-10-05
34,Garmin Venu 2,7,2,507.59,304.55,391,2025-02-27
35,Amazfit GTR 3,7,3,907.85,544.71,392,2024-11-06
